generator	BR (F/B)	BR (R/L)	FR	estimated	actual
F2 R2 L2 D2 L2 B2 R2	2	2	1	5	7
F2 R2 L2 D2 L2 B2 L2	2	2	1	5	7
F2 R2 U2 F2 B2 R2 F2	2	2	1	5	7
F2 R2 U2 F2 B2 R2 B2	2	2	1	5	7
F2 R2 U2 F2 B2 R2 L2	3	3	1	7	7
F2 R2 U2 F2 B2 R2 U2	2	3	2	7	7
F2 R2 U2 F2 B2 R2 D2	2	3	2	7	7
F2 R2 U2 F2 B2 L2 F2	2	2	1	5	7
F2 R2 U2 F2 B2 L2 B2	2	2	1	5	7
F2 R2 U2 F2 B2 L2 U2	2	3	2	7	7
F2 R2 U2 F2 B2 L2 D2	2	3	2	7	7
F2 R2 U2 F2 R2 F2 R2	3	3	1	7	7
F2 R2 U2 F2 R2 F2 L2	3	3	1	7	7
F2 R2 U2 F2 R2 F2 U2	2	3	2	7	7
F2 R2 U2 F2 R2 F2 D2	2	3	2	7	7
F2 R2 U2 F2 R2 B2 R2	3	3	1	7	7
F2 R2 U2 F2 R2 B2 L2	3	3	1	7	7
F2 R2 U2 F2 R2 B2 U2	2	3	2	7	7
F2 R2 U2 F2 R2 B2 D2	2	3	2	7	7
F2 R2 U2 F2 R2 L2 F2	3	3	1	7	7
F2 R2 U2 F2 R2 L2 U2	3	2	2	7	7
F2 R2 U2 F2 R2 L2 D2	3	2	2	7	7
F2 R2 U2 F2 R2 U2 F2	2	3	2	7	7
F2 R2 U2 F2 R2 U2 B2	2	3	2	7	7
F2 R2 U2 F2 R2 U2 R2	3	2	2	7	7
F2 R2 U2 F2 R2 U2 L2	3	2	2	7	7
F2 R2 U2 F2 R2 D2 F2	2	3	2	7	7
F2 R2 U2 F2 R2 D2 B2	2	3	2	7	7
F2 R2 U2 F2 R2 D2 R2	3	2	2	7	7
F2 R2 U2 F2 R2 D2 L2	3	2	2	7	7
F2 R2 U2 F2 L2 F2 R2	3	3	1	7	7
F2 R2 U2 F2 L2 F2 L2	3	3	1	7	7
F2 R2 U2 F2 L2 F2 U2	2	3	2	7	7
F2 R2 U2 F2 L2 F2 D2	2	3	2	7	7
F2 R2 U2 F2 L2 B2 R2	3	3	1	7	7
F2 R2 U2 F2 L2 B2 L2	3	3	1	7	7
F2 R2 U2 F2 L2 B2 U2	2	3	2	7	7
F2 R2 U2 F2 L2 B2 D2	2	3	2	7	7
F2 R2 U2 F2 L2 U2 F2	2	3	2	7	7
F2 R2 U2 F2 L2 U2 B2	2	3	2	7	7
F2 R2 U2 F2 L2 U2 R2	3	2	2	7	7
F2 R2 U2 F2 L2 U2 L2	3	2	2	7	7
F2 R2 U2 F2 L2 D2 F2	2	3	2	7	7
F2 R2 U2 F2 L2 D2 B2	2	3	2	7	7
F2 R2 U2 F2 L2 D2 R2	3	2	2	7	7
F2 R2 U2 F2 L2 D2 L2	3	2	2	7	7
F2 R2 U2 F2 U2 F2 R2	2	3	2	7	7
F2 R2 U2 F2 U2 F2 L2	2	3	2	7	7
F2 R2 U2 F2 U2 F2 U2	1	3	3	7	7
F2 R2 U2 F2 U2 F2 D2	1	3	3	7	7
F2 R2 U2 F2 U2 B2 R2	2	3	2	7	7
F2 R2 U2 F2 U2 B2 L2	2	3	2	7	7
F2 R2 U2 F2 U2 B2 U2	1	3	3	7	7
F2 R2 U2 F2 U2 B2 D2	1	3	3	7	7
F2 R2 U2 F2 D2 F2 R2	2	3	2	7	7
F2 R2 U2 F2 D2 F2 L2	2	3	2	7	7
F2 R2 U2 F2 D2 B2 R2	2	3	2	7	7
F2 R2 U2 F2 D2 B2 L2	2	3	2	7	7
F2 R2 U2 B2 R2 F2 R2	3	3	1	7	7
F2 R2 U2 B2 R2 F2 L2	3	3	1	7	7
F2 R2 U2 B2 R2 F2 U2	2	3	2	7	7
F2 R2 U2 B2 R2 F2 D2	2	3	2	7	7
F2 R2 U2 B2 R2 B2 R2	3	3	1	7	7
F2 R2 U2 B2 R2 B2 L2	3	3	1	7	7
F2 R2 U2 B2 R2 B2 U2	2	3	2	7	7
F2 R2 U2 B2 R2 B2 D2	2	3	2	7	7
F2 R2 U2 B2 R2 L2 U2	3	2	2	7	7
F2 R2 U2 B2 R2 L2 D2	3	2	2	7	7
F2 R2 U2 B2 R2 U2 F2	2	3	2	7	7
F2 R2 U2 B2 R2 U2 B2	2	3	2	7	7
F2 R2 U2 B2 R2 U2 R2	3	2	2	7	7
F2 R2 U2 B2 R2 U2 L2	3	2	2	7	7
F2 R2 U2 B2 R2 D2 F2	2	3	2	7	7
F2 R2 U2 B2 R2 D2 B2	2	3	2	7	7
F2 R2 U2 B2 R2 D2 R2	3	2	2	7	7
F2 R2 U2 B2 R2 D2 L2	3	2	2	7	7
F2 R2 U2 B2 L2 F2 R2	3	3	1	7	7
F2 R2 U2 B2 L2 F2 L2	3	3	1	7	7
F2 R2 U2 B2 L2 F2 U2	2	3	2	7	7
F2 R2 U2 B2 L2 F2 D2	2	3	2	7	7
F2 R2 U2 B2 L2 B2 R2	3	3	1	7	7
F2 R2 U2 B2 L2 B2 L2	3	3	1	7	7
F2 R2 U2 B2 L2 B2 U2	2	3	2	7	7
F2 R2 U2 B2 L2 B2 D2	2	3	2	7	7
F2 R2 U2 B2 L2 U2 F2	2	3	2	7	7
F2 R2 U2 B2 L2 U2 B2	2	3	2	7	7
F2 R2 U2 B2 L2 U2 R2	3	2	2	7	7
F2 R2 U2 B2 L2 U2 L2	3	2	2	7	7
F2 R2 U2 B2 L2 D2 F2	2	3	2	7	7
F2 R2 U2 B2 L2 D2 B2	2	3	2	7	7
F2 R2 U2 B2 L2 D2 R2	3	2	2	7	7
F2 R2 U2 B2 L2 D2 L2	3	2	2	7	7
F2 R2 U2 B2 U2 F2 R2	2	3	2	7	7
F2 R2 U2 B2 U2 F2 L2	2	3	2	7	7
F2 R2 U2 B2 U2 F2 U2	1	3	3	7	7
F2 R2 U2 B2 U2 F2 D2	1	3	3	7	7
F2 R2 U2 B2 U2 B2 R2	2	3	2	7	7
F2 R2 U2 B2 U2 B2 L2	2	3	2	7	7
F2 R2 U2 B2 U2 B2 U2	1	3	3	7	7
F2 R2 U2 B2 U2 B2 D2	1	3	3	7	7
F2 R2 U2 B2 D2 F2 R2	2	3	2	7	7
F2 R2 U2 B2 D2 F2 L2	2	3	2	7	7
F2 R2 U2 B2 D2 B2 R2	2	3	2	7	7
F2 R2 U2 B2 D2 B2 L2	2	3	2	7	7
F2 R2 U2 R2 F2 R2 F2	3	1	1	5	7
F2 R2 U2 R2 F2 R2 B2	3	1	1	5	7
F2 R2 U2 R2 F2 R2 L2	2	0	1	3	7
F2 R2 U2 R2 F2 R2 U2	3	0	2	5	7
F2 R2 U2 R2 F2 R2 D2	3	0	2	5	7
F2 R2 U2 R2 F2 L2 F2	3	1	1	5	7
F2 R2 U2 R2 F2 L2 B2	3	1	1	5	7
F2 R2 U2 R2 F2 L2 U2	3	0	2	5	7
F2 R2 U2 R2 F2 L2 D2	3	0	2	5	7
F2 R2 U2 R2 F2 U2 F2	2	1	2	5	7
F2 R2 U2 R2 F2 U2 B2	2	1	2	5	7
F2 R2 U2 R2 F2 U2 R2	3	0	2	5	7
F2 R2 U2 R2 F2 U2 L2	3	0	2	5	7
F2 R2 U2 R2 F2 D2 F2	2	1	2	5	7
F2 R2 U2 R2 F2 D2 B2	2	1	2	5	7
F2 R2 U2 R2 F2 D2 R2	3	0	2	5	7
F2 R2 U2 R2 F2 D2 L2	3	0	2	5	7
F2 R2 U2 R2 B2 R2 F2	3	3	1	7	7
F2 R2 U2 R2 B2 R2 B2	3	3	1	7	7
F2 R2 U2 R2 B2 R2 L2	2	2	1	5	7
F2 R2 U2 R2 B2 R2 U2	3	2	2	7	7
F2 R2 U2 R2 B2 R2 D2	3	2	2	7	7
F2 R2 U2 R2 B2 L2 F2	3	3	1	7	7
F2 R2 U2 R2 B2 L2 B2	3	3	1	7	7
F2 R2 U2 R2 B2 L2 U2	3	2	2	7	7
F2 R2 U2 R2 B2 L2 D2	3	2	2	7	7
F2 R2 U2 R2 B2 U2 F2	2	3	2	7	7
F2 R2 U2 R2 B2 U2 B2	2	3	2	7	7
F2 R2 U2 R2 B2 U2 R2	3	2	2	7	7
F2 R2 U2 R2 B2 U2 L2	3	2	2	7	7
F2 R2 U2 R2 B2 D2 F2	2	3	2	7	7
F2 R2 U2 R2 B2 D2 B2	2	3	2	7	7
F2 R2 U2 R2 B2 D2 R2	3	2	2	7	7
F2 R2 U2 R2 B2 D2 L2	3	2	2	7	7
F2 R2 U2 R2 L2 F2 R2	2	2	1	5	7
F2 R2 U2 R2 L2 F2 L2	2	2	1	5	7
F2 R2 U2 R2 L2 F2 U2	3	2	2	7	7
F2 R2 U2 R2 L2 F2 D2	3	2	2	7	7
F2 R2 U2 R2 L2 B2 R2	2	2	1	5	7
F2 R2 U2 R2 L2 B2 L2	2	2	1	5	7
F2 R2 U2 R2 L2 B2 U2	3	2	2	7	7
F2 R2 U2 R2 L2 B2 D2	3	2	2	7	7
F2 R2 U2 R2 U2 R2 F2	3	2	2	7	7
F2 R2 U2 R2 U2 R2 B2	3	2	2	7	7
F2 R2 U2 R2 U2 R2 U2	3	1	3	7	7
F2 R2 U2 R2 U2 R2 D2	3	1	3	7	7
F2 R2 U2 R2 U2 L2 F2	3	2	2	7	7
F2 R2 U2 R2 U2 L2 B2	3	2	2	7	7
F2 R2 U2 R2 U2 L2 U2	3	1	3	7	7
F2 R2 U2 R2 U2 L2 D2	3	1	3	7	7
F2 R2 U2 R2 D2 R2 F2	3	2	2	7	7
F2 R2 U2 R2 D2 R2 B2	3	2	2	7	7
F2 R2 U2 R2 D2 L2 F2	3	2	2	7	7
F2 R2 U2 R2 D2 L2 B2	3	2	2	7	7
F2 R2 U2 L2 F2 R2 F2	3	3	1	7	7
F2 R2 U2 L2 F2 R2 B2	3	3	1	7	7
F2 R2 U2 L2 F2 R2 L2	2	2	1	5	7
F2 R2 U2 L2 F2 R2 U2	3	2	2	7	7
F2 R2 U2 L2 F2 R2 D2	3	2	2	7	7
F2 R2 U2 L2 F2 L2 F2	3	3	1	7	7
F2 R2 U2 L2 F2 L2 B2	3	3	1	7	7
F2 R2 U2 L2 F2 L2 U2	3	2	2	7	7
F2 R2 U2 L2 F2 L2 D2	3	2	2	7	7
F2 R2 U2 L2 F2 U2 F2	2	3	2	7	7
F2 R2 U2 L2 F2 U2 B2	2	3	2	7	7
F2 R2 U2 L2 F2 U2 R2	3	2	2	7	7
F2 R2 U2 L2 F2 U2 L2	3	2	2	7	7
F2 R2 U2 L2 F2 D2 F2	2	3	2	7	7
F2 R2 U2 L2 F2 D2 B2	2	3	2	7	7
F2 R2 U2 L2 F2 D2 R2	3	2	2	7	7
F2 R2 U2 L2 F2 D2 L2	3	2	2	7	7
F2 R2 U2 L2 B2 R2 F2	3	1	1	5	7
F2 R2 U2 L2 B2 R2 B2	3	1	1	5	7
F2 R2 U2 L2 B2 R2 L2	2	0	1	3	7
F2 R2 U2 L2 B2 R2 U2	3	0	2	5	7
F2 R2 U2 L2 B2 R2 D2	3	0	2	5	7
F2 R2 U2 L2 B2 L2 F2	3	1	1	5	7
F2 R2 U2 L2 B2 L2 B2	3	1	1	5	7
F2 R2 U2 L2 B2 L2 U2	3	0	2	5	7
F2 R2 U2 L2 B2 L2 D2	3	0	2	5	7
F2 R2 U2 L2 B2 U2 F2	2	1	2	5	7
F2 R2 U2 L2 B2 U2 B2	2	1	2	5	7
F2 R2 U2 L2 B2 U2 R2	3	0	2	5	7
F2 R2 U2 L2 B2 U2 L2	3	0	2	5	7
F2 R2 U2 L2 B2 D2 F2	2	1	2	5	7
F2 R2 U2 L2 B2 D2 B2	2	1	2	5	7
F2 R2 U2 L2 B2 D2 R2	3	0	2	5	7
F2 R2 U2 L2 B2 D2 L2	3	0	2	5	7
F2 R2 U2 L2 U2 R2 F2	3	2	2	7	7
F2 R2 U2 L2 U2 R2 B2	3	2	2	7	7
F2 R2 U2 L2 U2 R2 U2	3	1	3	7	7
F2 R2 U2 L2 U2 R2 D2	3	1	3	7	7
F2 R2 U2 L2 U2 L2 F2	3	2	2	7	7
F2 R2 U2 L2 U2 L2 B2	3	2	2	7	7
F2 R2 U2 L2 U2 L2 U2	3	1	3	7	7
F2 R2 U2 L2 U2 L2 D2	3	1	3	7	7
F2 R2 U2 L2 D2 R2 F2	3	2	2	7	7
F2 R2 U2 L2 D2 R2 B2	3	2	2	7	7
F2 R2 U2 L2 D2 L2 F2	3	2	2	7	7
F2 R2 U2 L2 D2 L2 B2	3	2	2	7	7
F2 R2 D2 F2 B2 R2 F2	2	2	1	5	7
F2 R2 D2 F2 B2 R2 B2	2	2	1	5	7
F2 R2 D2 F2 B2 R2 L2	3	3	1	7	7
F2 R2 D2 F2 B2 L2 F2	2	2	1	5	7
F2 R2 D2 F2 B2 L2 B2	2	2	1	5	7
F2 R2 D2 F2 R2 F2 R2	3	3	1	7	7
F2 R2 D2 F2 R2 F2 L2	3	3	1	7	7
F2 R2 D2 F2 R2 B2 R2	3	3	1	7	7
F2 R2 D2 F2 R2 B2 L2	3	3	1	7	7
F2 R2 D2 F2 R2 L2 F2	3	3	1	7	7
F2 R2 D2 F2 L2 F2 R2	3	3	1	7	7
F2 R2 D2 F2 L2 F2 L2	3	3	1	7	7
F2 R2 D2 F2 L2 B2 R2	3	3	1	7	7
F2 R2 D2 F2 L2 B2 L2	3	3	1	7	7
F2 R2 D2 B2 R2 F2 R2	3	3	1	7	7
F2 R2 D2 B2 R2 F2 L2	3	3	1	7	7
F2 R2 D2 B2 R2 B2 R2	3	3	1	7	7
F2 R2 D2 B2 R2 B2 L2	3	3	1	7	7
F2 R2 D2 B2 L2 F2 R2	3	3	1	7	7
F2 R2 D2 B2 L2 F2 L2	3	3	1	7	7
F2 R2 D2 B2 L2 B2 R2	3	3	1	7	7
F2 R2 D2 B2 L2 B2 L2	3	3	1	7	7
F2 R2 D2 R2 F2 R2 F2	3	1	1	5	7
F2 R2 D2 R2 F2 R2 B2	3	1	1	5	7
F2 R2 D2 R2 F2 R2 L2	2	0	1	3	7
F2 R2 D2 R2 F2 L2 F2	3	1	1	5	7
F2 R2 D2 R2 F2 L2 B2	3	1	1	5	7
F2 R2 D2 R2 B2 R2 F2	3	3	1	7	7
F2 R2 D2 R2 B2 R2 B2	3	3	1	7	7
F2 R2 D2 R2 B2 R2 L2	2	2	1	5	7
F2 R2 D2 R2 B2 L2 F2	3	3	1	7	7
F2 R2 D2 R2 B2 L2 B2	3	3	1	7	7
F2 R2 D2 R2 L2 F2 R2	2	2	1	5	7
F2 R2 D2 R2 L2 F2 L2	2	2	1	5	7
F2 R2 D2 R2 L2 B2 R2	2	2	1	5	7
F2 R2 D2 R2 L2 B2 L2	2	2	1	5	7
F2 R2 D2 L2 F2 R2 F2	3	3	1	7	7
F2 R2 D2 L2 F2 R2 B2	3	3	1	7	7
F2 R2 D2 L2 F2 R2 L2	2	2	1	5	7
F2 R2 D2 L2 F2 L2 F2	3	3	1	7	7
F2 R2 D2 L2 F2 L2 B2	3	3	1	7	7
F2 R2 D2 L2 B2 R2 F2	3	1	1	5	7
F2 R2 D2 L2 B2 R2 B2	3	1	1	5	7
F2 R2 D2 L2 B2 R2 L2	2	0	1	3	7
F2 R2 D2 L2 B2 L2 F2	3	1	1	5	7
F2 R2 D2 L2 B2 L2 B2	3	1	1	5	7
F2 L2 F2 B2 U2 F2 B2	1	1	1	3	7
F2 L2 F2 B2 U2 F2 R2	2	2	1	5	7
F2 L2 F2 B2 U2 F2 L2	2	2	1	5	7
F2 L2 F2 B2 U2 F2 U2	1	2	2	5	7
F2 L2 F2 B2 U2 F2 D2	1	2	2	5	7
F2 L2 F2 B2 U2 B2 R2	2	2	1	5	7
F2 L2 F2 B2 U2 B2 L2	2	2	1	5	7
F2 L2 F2 B2 U2 B2 U2	1	2	2	5	7
F2 L2 F2 B2 U2 B2 D2	1	2	2	5	7
F2 L2 F2 B2 U2 R2 F2	2	2	1	5	7
F2 L2 F2 B2 U2 R2 B2	2	2	1	5	7
F2 L2 F2 B2 U2 R2 L2	3	3	1	7	7
F2 L2 F2 B2 U2 R2 U2	2	3	2	7	7
F2 L2 F2 B2 U2 R2 D2	2	3	2	7	7
F2 L2 F2 B2 U2 L2 F2	2	2	1	5	7
F2 L2 F2 B2 U2 L2 B2	2	2	1	5	7
F2 L2 F2 B2 U2 L2 U2	2	3	2	7	7
F2 L2 F2 B2 U2 L2 D2	2	3	2	7	7
F2 L2 F2 B2 D2 F2 B2	1	1	1	3	7
F2 L2 F2 B2 D2 F2 R2	2	2	1	5	7
F2 L2 F2 B2 D2 F2 L2	2	2	1	5	7
F2 L2 F2 B2 D2 B2 R2	2	2	1	5	7
F2 L2 F2 B2 D2 B2 L2	2	2	1	5	7
F2 L2 F2 B2 D2 R2 F2	2	2	1	5	7
F2 L2 F2 B2 D2 R2 B2	2	2	1	5	7
F2 L2 F2 B2 D2 R2 L2	3	3	1	7	7
F2 L2 F2 B2 D2 L2 F2	2	2	1	5	7
F2 L2 F2 B2 D2 L2 B2	2	2	1	5	7
F2 L2 F2 R2 F2 U2 F2	2	4	1	7	7
F2 L2 F2 R2 F2 U2 B2	2	4	1	7	7
F2 L2 F2 R2 F2 U2 R2	3	3	1	7	7
F2 L2 F2 R2 F2 U2 L2	3	3	1	7	7
F2 L2 F2 R2 F2 U2 D2	2	3	2	7	7
F2 L2 F2 R2 F2 D2 F2	2	4	1	7	7
F2 L2 F2 R2 F2 D2 B2	2	4	1	7	7
F2 L2 F2 R2 F2 D2 R2	3	3	1	7	7
F2 L2 F2 R2 F2 D2 L2	3	3	1	7	7
F2 L2 F2 R2 B2 U2 F2	2	4	1	7	7
F2 L2 F2 R2 B2 U2 B2	2	4	1	7	7
F2 L2 F2 R2 B2 U2 R2	3	3	1	7	7
F2 L2 F2 R2 B2 U2 L2	3	3	1	7	7
F2 L2 F2 R2 B2 U2 D2	2	3	2	7	7
F2 L2 F2 R2 B2 D2 F2	2	4	1	7	7
F2 L2 F2 R2 B2 D2 B2	2	4	1	7	7
F2 L2 F2 R2 B2 D2 R2	3	3	1	7	7
F2 L2 F2 R2 B2 D2 L2	3	3	1	7	7
F2 L2 F2 R2 L2 F2 U2	3	3	1	7	7
F2 L2 F2 R2 L2 F2 D2	3	3	1	7	7
F2 L2 F2 R2 L2 U2 F2	3	3	1	7	7
F2 L2 F2 R2 L2 U2 B2	3	3	1	7	7
F2 L2 F2 R2 L2 U2 R2	2	2	1	5	7
F2 L2 F2 R2 L2 U2 L2	2	2	1	5	7
F2 L2 F2 R2 L2 U2 D2	3	2	2	7	7
F2 L2 F2 R2 L2 D2 F2	3	3	1	7	7
F2 L2 F2 R2 L2 D2 B2	3	3	1	7	7
F2 L2 F2 R2 L2 D2 R2	2	2	1	5	7
F2 L2 F2 R2 L2 D2 L2	2	2	1	5	7
F2 L2 F2 R2 U2 F2 B2	2	2	1	5	7
F2 L2 F2 R2 U2 F2 U2	2	3	2	7	7
F2 L2 F2 R2 U2 F2 D2	2	3	2	7	7
F2 L2 F2 R2 U2 B2 U2	2	3	2	7	7
F2 L2 F2 R2 U2 B2 D2	2	3	2	7	7
F2 L2 F2 R2 U2 R2 F2	3	1	1	5	7
F2 L2 F2 R2 U2 R2 B2	3	3	1	7	7
F2 L2 F2 R2 U2 R2 L2	2	2	1	5	7
F2 L2 F2 R2 U2 R2 U2	3	2	2	7	7
F2 L2 F2 R2 U2 R2 D2	3	2	2	7	7
F2 L2 F2 R2 U2 L2 F2	3	3	1	7	7
F2 L2 F2 R2 U2 L2 B2	3	1	1	5	7
F2 L2 F2 R2 U2 L2 U2	3	2	2	7	7
F2 L2 F2 R2 U2 L2 D2	3	2	2	7	7
F2 L2 F2 R2 D2 F2 B2	2	2	1	5	7
F2 L2 F2 R2 D2 R2 F2	3	1	1	5	7
F2 L2 F2 R2 D2 R2 B2	3	3	1	7	7
F2 L2 F2 R2 D2 R2 L2	2	2	1	5	7
F2 L2 F2 R2 D2 L2 F2	3	3	1	7	7
F2 L2 F2 R2 D2 L2 B2	3	1	1	5	7
F2 L2 F2 L2 F2 U2 F2	2	4	1	7	7
F2 L2 F2 L2 F2 U2 B2	2	4	1	7	7
F2 L2 F2 L2 F2 U2 R2	3	3	1	7	7
F2 L2 F2 L2 F2 U2 L2	3	3	1	7	7
F2 L2 F2 L2 F2 U2 D2	2	3	2	7	7
F2 L2 F2 L2 F2 D2 F2	2	4	1	7	7
F2 L2 F2 L2 F2 D2 B2	2	4	1	7	7
F2 L2 F2 L2 F2 D2 R2	3	3	1	7	7
F2 L2 F2 L2 F2 D2 L2	3	3	1	7	7
F2 L2 F2 L2 B2 U2 F2	2	4	1	7	7
F2 L2 F2 L2 B2 U2 B2	2	4	1	7	7
F2 L2 F2 L2 B2 U2 R2	3	3	1	7	7
F2 L2 F2 L2 B2 U2 L2	3	3	1	7	7
F2 L2 F2 L2 B2 U2 D2	2	3	2	7	7
F2 L2 F2 L2 B2 D2 F2	2	4	1	7	7
F2 L2 F2 L2 B2 D2 B2	2	4	1	7	7
F2 L2 F2 L2 B2 D2 R2	3	3	1	7	7
F2 L2 F2 L2 B2 D2 L2	3	3	1	7	7
F2 L2 F2 L2 U2 F2 B2	2	2	1	5	7
F2 L2 F2 L2 U2 F2 U2	2	3	2	7	7
F2 L2 F2 L2 U2 F2 D2	2	3	2	7	7
F2 L2 F2 L2 U2 B2 U2	2	3	2	7	7
F2 L2 F2 L2 U2 B2 D2	2	3	2	7	7
F2 L2 F2 L2 U2 R2 F2	3	3	1	7	7
F2 L2 F2 L2 U2 R2 B2	3	1	1	5	7
F2 L2 F2 L2 U2 R2 L2	2	2	1	5	7
F2 L2 F2 L2 U2 R2 U2	3	2	2	7	7
F2 L2 F2 L2 U2 R2 D2	3	2	2	7	7
F2 L2 F2 L2 U2 L2 F2	3	1	1	5	7
F2 L2 F2 L2 U2 L2 B2	3	3	1	7	7
F2 L2 F2 L2 U2 L2 U2	3	2	2	7	7
F2 L2 F2 L2 U2 L2 D2	3	2	2	7	7
F2 L2 F2 L2 D2 F2 B2	2	2	1	5	7
F2 L2 F2 L2 D2 R2 F2	3	3	1	7	7
F2 L2 F2 L2 D2 R2 B2	3	1	1	5	7
F2 L2 F2 L2 D2 R2 L2	2	2	1	5	7
F2 L2 F2 L2 D2 L2 F2	3	1	1	5	7
F2 L2 F2 L2 D2 L2 B2	3	3	1	7	7
F2 L2 F2 U2 F2 B2 R2	2	2	1	5	7
F2 L2 F2 U2 F2 B2 L2	2	2	1	5	7
F2 L2 F2 U2 F2 B2 U2	1	2	2	5	7
F2 L2 F2 U2 F2 B2 D2	1	2	2	5	7
F2 L2 F2 U2 F2 U2 F2	1	4	2	7	7
F2 L2 F2 U2 F2 U2 B2	1	4	2	7	7
F2 L2 F2 U2 F2 D2 F2	1	4	2	7	7
F2 L2 F2 U2 F2 D2 B2	1	4	2	7	7
F2 L2 F2 U2 B2 U2 F2	1	4	2	7	7
F2 L2 F2 U2 B2 U2 B2	1	4	2	7	7
F2 L2 F2 U2 B2 D2 F2	1	4	2	7	7
F2 L2 F2 U2 B2 D2 B2	1	4	2	7	7
F2 L2 F2 U2 R2 F2 U2	2	3	2	7	7
F2 L2 F2 U2 R2 F2 D2	2	3	2	7	7
F2 L2 F2 U2 R2 B2 U2	2	3	2	7	7
F2 L2 F2 U2 R2 B2 D2	2	3	2	7	7
F2 L2 F2 U2 R2 L2 F2	3	3	1	7	7
F2 L2 F2 U2 R2 L2 B2	3	3	1	7	7
F2 L2 F2 U2 R2 L2 U2	3	2	2	7	7
F2 L2 F2 U2 R2 L2 D2	3	2	2	7	7
F2 L2 F2 U2 R2 U2 R2	3	2	2	7	7
F2 L2 F2 U2 R2 U2 L2	3	2	2	7	7
F2 L2 F2 U2 R2 D2 R2	3	2	2	7	7
F2 L2 F2 U2 R2 D2 L2	3	2	2	7	7
F2 L2 F2 U2 L2 F2 U2	2	3	2	7	7
F2 L2 F2 U2 L2 F2 D2	2	3	2	7	7
F2 L2 F2 U2 L2 B2 U2	2	3	2	7	7
F2 L2 F2 U2 L2 B2 D2	2	3	2	7	7
F2 L2 F2 U2 L2 U2 R2	3	2	2	7	7
F2 L2 F2 U2 L2 U2 L2	3	2	2	7	7
F2 L2 F2 U2 L2 D2 R2	3	2	2	7	7
F2 L2 F2 U2 L2 D2 L2	3	2	2	7	7
F2 L2 F2 D2 F2 B2 R2	2	2	1	5	7
F2 L2 F2 D2 F2 B2 L2	2	2	1	5	7
F2 L2 F2 D2 R2 L2 F2	3	3	1	7	7
F2 L2 F2 D2 R2 L2 B2	3	3	1	7	7
F2 L2 B2 R2 F2 U2 F2	2	4	1	7	7
F2 L2 B2 R2 F2 U2 B2	2	4	1	7	7
F2 L2 B2 R2 F2 U2 R2	3	3	1	7	7
F2 L2 B2 R2 F2 U2 L2	3	3	1	7	7
F2 L2 B2 R2 F2 U2 D2	2	3	2	7	7
F2 L2 B2 R2 F2 D2 F2	2	4	1	7	7
F2 L2 B2 R2 F2 D2 B2	2	4	1	7	7
F2 L2 B2 R2 F2 D2 R2	3	3	1	7	7
F2 L2 B2 R2 F2 D2 L2	3	3	1	7	7
F2 L2 B2 R2 B2 U2 F2	2	4	1	7	7
F2 L2 B2 R2 B2 U2 B2	2	4	1	7	7
F2 L2 B2 R2 B2 U2 R2	3	3	1	7	7
F2 L2 B2 R2 B2 U2 L2	3	3	1	7	7
F2 L2 B2 R2 B2 U2 D2	2	3	2	7	7
F2 L2 B2 R2 B2 D2 F2	2	4	1	7	7
F2 L2 B2 R2 B2 D2 B2	2	4	1	7	7
F2 L2 B2 R2 B2 D2 R2	3	3	1	7	7
F2 L2 B2 R2 B2 D2 L2	3	3	1	7	7
F2 L2 B2 R2 L2 U2 F2	3	3	1	7	7
F2 L2 B2 R2 L2 U2 B2	3	3	1	7	7
F2 L2 B2 R2 L2 U2 R2	2	2	1	5	7
F2 L2 B2 R2 L2 U2 L2	2	2	1	5	7
F2 L2 B2 R2 L2 U2 D2	3	2	2	7	7
F2 L2 B2 R2 L2 D2 F2	3	3	1	7	7
F2 L2 B2 R2 L2 D2 B2	3	3	1	7	7
F2 L2 B2 R2 L2 D2 R2	2	2	1	5	7
F2 L2 B2 R2 L2 D2 L2	2	2	1	5	7
F2 L2 B2 R2 U2 F2 B2	2	2	1	5	7
F2 L2 B2 R2 U2 F2 U2	2	3	2	7	7
F2 L2 B2 R2 U2 F2 D2	2	3	2	7	7
F2 L2 B2 R2 U2 B2 U2	2	3	2	7	7
F2 L2 B2 R2 U2 B2 D2	2	3	2	7	7
F2 L2 B2 R2 U2 R2 L2	2	2	1	5	7
F2 L2 B2 R2 U2 R2 U2	3	2	2	7	7
F2 L2 B2 R2 U2 R2 D2	3	2	2	7	7
F2 L2 B2 R2 U2 L2 U2	3	2	2	7	7
F2 L2 B2 R2 U2 L2 D2	3	2	2	7	7
F2 L2 B2 R2 D2 F2 B2	2	2	1	5	7
F2 L2 B2 R2 D2 R2 L2	2	2	1	5	7
F2 L2 B2 L2 F2 U2 F2	2	4	1	7	7
F2 L2 B2 L2 F2 U2 B2	2	4	1	7	7
F2 L2 B2 L2 F2 U2 R2	3	3	1	7	7
F2 L2 B2 L2 F2 U2 L2	3	3	1	7	7
F2 L2 B2 L2 F2 U2 D2	2	3	2	7	7
F2 L2 B2 L2 F2 D2 F2	2	4	1	7	7
F2 L2 B2 L2 F2 D2 B2	2	4	1	7	7
F2 L2 B2 L2 F2 D2 R2	3	3	1	7	7
F2 L2 B2 L2 F2 D2 L2	3	3	1	7	7
F2 L2 B2 L2 B2 U2 F2	2	4	1	7	7
